periodo,disciplina,situacaoDisciplina,data
1,Algoritmo,APROVADO,2007-08-01
1,Algoritmo,REPROVADO,2007-08-01
1,Algoritmo,REPROVADO,2007-08-01
1,Algoritmo,APROVADO,2008-02-01
1,Algoritmo,APROVADO,2008-02-01
1,Algoritmo,APROVADO,2008-02-01
1,Algoritmo,APROVADO,2008-02-01
1,Algoritmo,APROVADO,2008-02-01
1,Algoritmo,REPROVADO,2008-02-01
1,Algoritmo,APROVADO,2008-02-01
1,Algoritmo,APROVADO,2008-02-01
1,Algoritmo,REPROVADO,2008-02-01
1,Algoritmo,APROVADO,2008-02-01
1,Algoritmo,APROVADO,2008-02-01
1,Algoritmo,REPROVADO,2008-02-01
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,REPROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2008-08-04
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,REPROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,REPROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,REPROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,REPROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,REPROVADO,2009-02-09
1,Algoritmo,APROVADO,2009-02-09
1,Algoritmo,REPROVADO,2009-02-09
1,Algoritmo,REPROVADO,2009-02-09
1,Algoritmo,REPROVADO,2009-08-03
