disciplina,situacaoDisciplina
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
Algoritmo,REPROVADO
Algoritmo,APROVADO
Algoritmo,APROVADO
