periodo,disciplina
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
1,Algoritmo
