periodo,disciplina,situacaoDisciplina
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,APROVADO
1,Algoritmo,REPROVADO
1,Algoritmo,REPROVADO
